OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
2024-07-05T00:49:37.050+0800: 85.760: [GC (Allocation Failure) [PSYoungGen: 189984K->18160K(203264K)] 293637K->129867K(320512K), 0.0289844 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2024-07-05T00:49:37.079+0800: 85.789: [Full GC (Ergonomics) [PSYoungGen: 18160K->0K(203264K)] [ParOldGen: 111707K->47990K(121856K)] 129867K->47990K(325120K), [Metaspace: 12112K->12112K(1060864K)], 0.1351683 secs] [Times: user=0.25 sys=0.00, real=0.14 secs] 
2024-07-05T00:49:37.501+0800: 86.211: [GC (Allocation Failure) [PSYoungGen: 172032K->32240K(204288K)] 220022K->80926K(326144K), 0.0368692 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T00:49:37.790+0800: 86.500: [GC (Allocation Failure) [PSYoungGen: 204272K->18749K(203264K)] 252958K->76745K(325120K), 0.0320614 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:38.066+0800: 86.776: [GC (Allocation Failure) [PSYoungGen: 187709K->20736K(189952K)] 245705K->80889K(311808K), 0.0218438 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:38.335+0800: 87.046: [GC (Allocation Failure) [PSYoungGen: 189696K->22896K(203776K)] 249849K->90106K(325632K), 0.0315546 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:38.653+0800: 87.364: [GC (Allocation Failure) [PSYoungGen: 192880K->13842K(203264K)] 260090K->87244K(325120K), 0.0224996 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:38.901+0800: 87.612: [GC (Allocation Failure) [PSYoungGen: 183826K->25536K(204288K)] 257228K->100156K(326144K), 0.0268797 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:39.163+0800: 87.874: [GC (Allocation Failure) [PSYoungGen: 196544K->31152K(202240K)] 271164K->110228K(324096K), 0.0387713 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2024-07-05T00:49:39.471+0800: 88.182: [GC (Allocation Failure) [PSYoungGen: 202160K->8015K(200192K)] 281236K->87948K(322048K), 0.0091462 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2024-07-05T00:49:39.702+0800: 88.413: [GC (Allocation Failure) [PSYoungGen: 171855K->20432K(184320K)] 251788K->102365K(306176K), 0.0275434 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:39.944+0800: 88.655: [GC (Allocation Failure) [PSYoungGen: 184272K->33024K(196608K)] 266205K->124433K(318464K), 0.0445263 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2024-07-05T00:49:40.246+0800: 88.956: [GC (Allocation Failure) [PSYoungGen: 193792K->13008K(199680K)] 285201K->105905K(321536K), 0.0132645 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:40.502+0800: 89.212: [GC (Allocation Failure) [PSYoungGen: 173776K->15936K(197632K)] 266673K->113477K(319488K), 0.0244696 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:40.716+0800: 89.426: [GC (Allocation Failure) [PSYoungGen: 176704K->31488K(198656K)] 274245K->138741K(320512K), 0.0459079 secs] [Times: user=0.09 sys=0.01, real=0.04 secs] 
2024-07-05T00:49:40.989+0800: 89.699: [GC (Allocation Failure) [PSYoungGen: 192256K->17848K(199680K)] 299509K->126578K(321536K), 0.0181452 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:41.282+0800: 89.993: [GC (Allocation Failure) [PSYoungGen: 177592K->12576K(198656K)] 286322K->127481K(320512K), 0.0240167 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:41.306+0800: 90.017: [Full GC (Ergonomics) [PSYoungGen: 12576K->0K(198656K)] [ParOldGen: 114905K->46358K(126464K)] 127481K->46358K(325120K), [Metaspace: 12117K->12117K(1060864K)], 0.1392195 secs] [Times: user=0.26 sys=0.00, real=0.13 secs] 
2024-07-05T00:49:41.626+0800: 90.337: [GC (Allocation Failure) [PSYoungGen: 159744K->30176K(196608K)] 206102K->76535K(323072K), 0.0332427 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:41.874+0800: 90.584: [GC (Allocation Failure) [PSYoungGen: 187872K->19712K(198144K)] 234231K->67703K(324608K), 0.0198718 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:42.174+0800: 90.884: [GC (Allocation Failure) [PSYoungGen: 177408K->10752K(198144K)] 225399K->64605K(324608K), 0.0189574 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2024-07-05T00:49:42.373+0800: 91.084: [GC (Allocation Failure) [PSYoungGen: 169984K->28896K(198144K)] 223837K->92673K(324608K), 0.0422932 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
2024-07-05T00:49:42.626+0800: 91.336: [GC (Allocation Failure) [PSYoungGen: 188128K->21213K(197120K)] 251905K->86143K(323584K), 0.0219330 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:42.882+0800: 91.593: [GC (Allocation Failure) [PSYoungGen: 180445K->10208K(197632K)] 245375K->76323K(324096K), 0.0137236 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:43.079+0800: 91.789: [GC (Allocation Failure) [PSYoungGen: 169440K->26592K(198144K)] 235555K->98441K(324608K), 0.0342277 secs] [Times: user=0.06 sys=0.01, real=0.03 secs] 
2024-07-05T00:49:43.323+0800: 92.033: [GC (Allocation Failure) [PSYoungGen: 186336K->26496K(199168K)] 258185K->103250K(325632K), 0.0313683 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2024-07-05T00:49:43.604+0800: 92.315: [GC (Allocation Failure) [PSYoungGen: 186240K->10776K(199168K)] 262994K->91182K(325632K), 0.0156595 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:43.809+0800: 92.520: [GC (Allocation Failure) [PSYoungGen: 170520K->25536K(199168K)] 250926K->112427K(325632K), 0.0355517 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:44.033+0800: 92.744: [GC (Allocation Failure) [PSYoungGen: 185280K->26560K(198144K)] 272171K->118783K(324608K), 0.0313772 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:44.302+0800: 93.012: [GC (Allocation Failure) [PSYoungGen: 185280K->11861K(198656K)] 277503K->107831K(325120K), 0.0232626 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
